method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.943241821000319,4.689596009973857,0.21605484992875224,-3.4137242779304016,5.9200953490202295,-5.117926553459331
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.976853528019911,2.347758607868845,0.2170383019851439,1.7042022755289292,5.9200953490202295,-5.117926553459331
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.9378483443045282,4.68302260918883,0.2896971275779654,-3.421392705581791,5.911235503518132,-5.129401401869108
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.973387159213604,2.3443541530199843,0.2914334756750509,1.7080086962873167,5.911235503518132,-5.129401401869108
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.9378483443045282,4.68302260918883,0.2896971275779654,-3.421392705581791,5.911235503518132,-5.129401401869108
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.973387159213604,2.3443541530199843,0.2914334756750509,1.7080086962873167,5.911235503518132,-5.129401401869108
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,3.5250599480426223,4.259996900137055,0.41457618381575495,-3.0737688107900714,5.292763438241685,-4.606424387425122
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.7677740767490357,2.134932777194265,0.414270415685157,1.532655576635051,5.292763438241685,-4.606424387425122
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,3.5332396031997773,4.268465686544892,0.47454401185576955,-3.0840986283918355,5.3044197102983865,-4.62208393679877
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.7711801070986093,2.1393251519229293,0.47281005491570294,1.5379853084069337,5.3044197102983865,-4.62208393679877
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,3.5332396031997773,4.268465686544892,0.47454401185576955,-3.0840986283918355,5.3044197102983865,-4.62208393679877
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.7711801070986093,2.1393251519229293,0.47281005491570294,1.5379853084069337,5.3044197102983865,-4.62208393679877
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.1985507132460977,3.9776579223447626,0.37286510915002596,-2.642888437536932,4.806651874736497,-3.966832377365638
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.6081011614903993,1.992146455938312,0.37115044868056885,1.3239439398287058,4.806651874736497,-3.966832377365638
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.1798669071727477,3.9601195712405075,0.5000901462671876,-2.659698086404481,4.777688637711207,-3.9923704496260743
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.5978217305384594,1.9828448283301303,0.49918750547686597,1.3326723632215933,4.777688637711207,-3.9923704496260743
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.1798669071727477,3.9601195712405075,0.5000901462671876,-2.659698086404481,4.777688637711207,-3.9923704496260743
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.5978217305384594,1.9828448283301303,0.49918750547686597,1.3326723632215933,4.777688637711207,-3.9923704496260743
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.3816727851507316,3.2857624419663267,0.21605484992875218,-0.676341285155096,3.5805947252433867,-1.017455945805114
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.201393181045638,1.6504618434288796,0.21703830198514312,0.341114660650018,3.5805947252433867,-1.017455945805114
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.3603846694133304,3.269960550156391,0.2896971275779654,-0.6840097128064893,3.5462073573274284,-1.0289307942148926
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.1889303567386407,1.6424595095736425,0.2914334756750518,0.3449210814084034,3.5462073573274284,-1.0289307942148926
RTBP_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.3603846694133304,3.269960550156391,0.2896971275779654,-0.6840097128064893,3.5462073573274284,-1.0289307942148926
RTBP_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.1889303567386407,1.6424595095736425,0.2914334756750518,0.3449210814084034,3.5462073573274284,-1.0289307942148926
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.1400258378651005,2.9686837473452217,0.41457618381575323,-0.33699303369677486,3.2171615683435166,-0.5066743863887802
